,Airline,Review,Scores,Cluster
0,Wizz,Apsolutly horified flying from turkey instanbul airport big one The manager working for wizz air was so disgusting disrespectful  full on raisits Manager of wizz air names  Bozat hudeyn murat He firstly kept checking are pasports then picked up on some bags without the tester troly he decided that its not right and we needed to pay extra which we did anyway Then he starts taking pictures of my mum which she is disabled Then he started to call us names in his languege where we had other customer that undersood him started to kick off as he was swearing and callinv us gipsy dirty bags Yes we are gipsy but rich ones I will be taking this to court due to disability discrimination and many more My mum was crying from him in tears needed to take medication We nearly lost are flying due to him keep bullying us and picking on small stuff other passengers had alot bigger bags which i have taken pictures will prove in court 07553815257 if the director wans to discuss this i am happy before i take this to court Thanks ,-0.5397,2
1,Wizz,"I am due to Fly with Whizz Air next week, but have already had an incredibly disappointing experience. Not only do they charge extra for everything, but they make you pay just to select a seat. To add insult to injury, they charge for airport check-in too, which seems completely unreasonable in this day and age. The whole process feels like a money grab at every step. The hidden fees made what initially seemed like a budget flight cost much more than expected. I won't be flying with Whizz Air again. Avoid if you can! ",-0.9018,3
5,Wizz,"Thiefs. Lost my baggage and is doing norhing at All ro find it. Absoluty terible Airlines, never Again will i fly with Them.",-0.3182,3
6,Wizz,I have wrote a complaint and had no reply for months do I need to contact the ombudsman to get a response ,-0.5267,1
7,Wizz,"They are one of the worst airlines I’ve ever travelled on and have so much hidden cost I would advise anyone who is travelling with Wizz airline to make sure they understand all their small prints they are deceiving company that shouldn’t even operate as an airline just for me not printing my boarding pass they charge me €100. How does that work when I’ve booked my sheets? They turned around and said I didn’t book my boarding class so I ended up paying another hundred pound just because I was within my three hours of departing and I didn’t book my online boarding pass they charge me another hundred pound they make customers wait in the queue like we are animals and one person is checking 2 to 300 people so they make you frustrated you end up paying for priority checking they will try and sell everything on the airline as you’re travelling with extortionate pricing on simple things like water airlines toilet don’t even work so you’ve got one toilet that works in the whole plane everyone’s queueing up on the aisle like they’re boarding again. I honestly would advise everyone a little extra travel with a decent airline company and never ever travel with this nasty airline ever in your life, you will regret it and you will start your holiday with trauma and finish with trauma. Stay well away they are a piece of shit. ",-0.8898,2
9,Wizz,"My flight got cancelled by Wizz and guess what, no emails no calls no text.I went to the airport and had to find out.WIZZ NOW TELLING ME THEY  WILL PAY ME HALF THE MONEY AS THE RETURN FLIGHT IS ACTIVE.HOW DOES THAT WORK??",-0.8439,1
10,Wizz,"Terrible service I've booked twice this year and both times they have cancelled our Sunday flight, outrageous 3 weeks time and you cancel again, you new full well the Gatwick to Valencia on Sundays would never take off",-0.7906,3
11,Wizz,I purchased flights for my parents to travel from Albania to the uk and paid £421.00.I realised I hade  made a mistake and thought it would be ok to make a change on the flight as there was still a week to go before the flight. I called wizz air and was told that i could chamge the flights on line. This turned out to be untrue as I would be charged full price for the flights i needed that were £200 cheaper than the original. I then proceeded to cancel the flights and was told i would only receive £61 !!! I have not received nothing and i have now lost £421.00 that they will now resell the flights.Do not trust this airline they are just stealing money,-0.8828,1
12,Wizz,Checked in on line as soon as allowed within their ridiculous 24 hour rule if random seat allocation. Seats allocated but we are not even in the same row. This is obviously a deliberate ploy on the part of the airline to make customers pay extra to pre-book seats. Not impressed!,-0.7161,3
13,Wizz,"Would not advise booking with this airline. Basically called a liar by two of the cabin crew. As an anxious person, it was crippling enough to speak up in the first place, but to be made out to be lying over a £5 meal is insane. Made a complaint through customer service email, they said it was 'resolved' without it being clear at all, then after reopening the case at my request, they reopened and then said it was resolved without any information again. Never been one to leave a review, but thought it would actually be highly advisable to avoid this airline",-0.9573,2
